item,type,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,sum
高血压,随访管理人数,4,11,23,9,5,2,4,3,2,1,64
高血压,随访次数,11,11,11,11,11,11,11,11,11,11,110
高血压,达标人数,4,11,23,9,5,2,4,3,2,1,64
高血压,签约人数,4,11,23,9,5,2,4,3,2,1,64
高血压,签约率,4,11,23,9,5,2,4,3,2,1,64
糖尿病,随访管理人数,0,5,3,3,1,0,1,0,1,2,16
糖尿病,随访次数,0,11,11,11,11,0,11,0,11,11,77
糖尿病,达标人数,0,5,3,3,1,0,1,0,1,2,16
糖尿病,签约人数,0,5,3,3,1,0,1,0,1,2,16
糖尿病,签约率,0,5,3,3,1,0,1,0,1,2,16
肺结核,签约人数,0,0,0,0,0,0,0,0,0,0,0
肺结核,签约率,0,0,0,0,0,0,0,0,0,0,0
低保,签约人数,1,2,11,3,1,0,11,8,4,0,41
低保,签约率,1,2,11,3,1,0,11,8,4,0,41
五保,签约人数,1,5,1,3,0,2,1,0,0,0,13
五保,签约率,1,5,1,3,0,2,1,0,0,0,13
残疾人口,签约人数,8,10,13,5,7,6,7,4,1,1,62
残疾人口,签约率,8,10,13,5,7,6,7,4,1,1,62
贫困人口,签约人数,28,23,57,46,16,14,28,27,22,23,284
贫困人口,签约率,28,23,57,46,16,14,28,27,22,23,284
低龄儿童,签约人数,14,16,34,32,10,22,26,22,11,26,213
低龄儿童,签约率,14,16,34,32,10,22,26,22,11,26,213
孕产妇,签约人数,1,1,3,1,0,1,0,0,0,0,7
孕产妇,签约率,1,1,3,1,0,1,0,0,0,0,7
一般人群,签约人数,23,30,60,64,10,15,15,15,15,18,265
一般人群,签约率,50,83,186,53,80,50,42,61,37,44,497
总人数,无,102,190,268,196,62,100,119,114,66,86,1303
